"cluster","n","n_k27","pct_k27","label","cl_lab"
3,110,76,69.0909090909091,"Ion channels / transmembrane","Cl3 (n=110)"
9,67,43,64.1791044776119,"Transcription regulation","Cl9 (n=67)"
6,97,62,63.9175257731959,"Cell projection morphogenesis","Cl6 (n=97)"
1,116,73,62.9310344827586,"Nucleic acid binding / Peptidase","Cl1 (n=116)"
5,94,55,58.5106382978723,"Thorax/limb morphogenesis","Cl5 (n=94)"
4,80,46,57.5,"Phosphotransferase / kinase","Cl4 (n=80)"
10,59,32,54.2372881355932,"Cell-cell adhesion / tight junction","Cl10 (n=59)"
2,51,26,50.9803921568627,"Mixed / Other (uncharacterized)","Cl2 (n=51)"
7,49,24,48.9795918367347,"Small molecule / lipid metabolism","Cl7 (n=49)"
8,62,29,46.7741935483871,"Mixed / Other (scaffolds)","Cl8 (n=62)"
