"protein_class","n","n_k27","pct_k27","lab"
"GTPase/regulator",24,18,75,"GTPase/regulator (n=24)"
"GPCR",26,19,73.0769230769231,"GPCR (n=26)"
"structural protein",39,28,71.7948717948718,"structural protein (n=39)"
"ion channel",49,35,71.4285714285714,"ion channel (n=49)"
"ECM protein",13,9,69.2307692307692,"ECM protein (n=13)"
"protease",16,11,68.75,"protease (n=16)"
"channel regulator",19,13,68.421052631579,"channel regulator (n=19)"
"transcription factor",62,40,64.5161290322581,"transcription factor (n=62)"
"phosphatase",10,6,60,"phosphatase (n=10)"
"kinase",32,19,59.375,"kinase (n=32)"
"transporter",56,33,58.9285714285714,"transporter (n=56)"
"adhesion molecule",30,17,56.6666666666667,"adhesion molecule (n=30)"
"receptor",41,23,56.0975609756098,"receptor (n=41)"
"enzyme",107,59,55.1401869158879,"enzyme (n=107)"
"other",137,72,52.5547445255474,"other (n=137)"
"scaffold/adaptor",64,33,51.5625,"scaffold/adaptor (n=64)"
"secreted factor",40,20,50,"secreted factor (n=40)"
"ubiquitin ligase",14,7,50,"ubiquitin ligase (n=14)"
